,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,,Question,Answer,Sandbox,Top Tier,Trendy's PMZ,Big 3 Masterclass,Trendy Day Trading,Micro Voodoo Lines,DPMR,Chart Patterns,Stacked Profits,Multi Squeeze Pro,Raghee Day Trading,Trendy Supply and Demand,RAF Pro,True Momentum,Bulletproof Butterflies,Decoding Volume,5 Star Options Income,Compound Butterfly,Pocketing Premium,Moxie,Strike Zone Strategy,Options Freedom Formula,Small Account Futures,Small Account Blueprint,Unbalanced Butterfly,Quarterly Profits Formula,Ultimate Spread,Next Level Futures,Volume Breakout,True Low Formula,$100k a day setup,Phoenix Finder Turbo,Profit Recycling Reimagined,Obnoxious Profit,Simpler Calendars,Multi 10x,squeeze pro system page,RAF pro,Squeeze Pro,DPMR,Trendy Script,HPMR,Moxie,Quant Pivots,Darvas,True Low,Trend Spark Indicator,Volume Max,Phoenix Finder,Turbo VZO & VZO Signals,Divergent Bar,Compound Breakout Tool,Voodoo Lines,Multi Squeeze Pro,VWAP Max Tool,Earnings Hot Zone,10x bars,Drama Free Day Trades,Dynarange,Simpler Options 101,Trend Rotation Tool,Early In N Out Pro,Multi 10x,Micro Voodoo Lines,Multi-Trend,Squeeze Rotation Tool,Squeeze Pro Stats Tool,Chart Patterns Mastery,Compounding Growth,Overnight Earnings,MEM edge landing page
Course/Bundle or Indicator,,,,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Indicator,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Course/Bundle,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Course/Bundle,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Course/Bundle,Indicator,Course/Bundle,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Trial,Trial,Upsell ,Report
"What is the external name for the product (i.e., what customers will see)",,,,John Carter's Sandbox Strategy,Top Tier Pro System,The PMZ System,The New “Big 3” Squeeze Master Class,Day Trading with Tr3ndy Zones,Micro Voodoo Line Strategy,DPMR Masterclass,Chart Patterns Secrets,The Stacked Profit Strategy,The Multi Squeeze Pro System,Raghee's Day Trading Options Strategy Course,"Tr3ndy Jon’s Supply
& Demand System","The Ready. Aim. Fire!® Pro System
",True Momentum System,Bulletproof Butterflies 2.0,Decoding Volume,5 Star Options Income Plan,The Compound Butterfly Blueprint,Pocketing Premium Masterclass,The Moxie Indicator,Strike Zone Strategy,Options Freedom Formula,Small Account Futures,Small Account Blueprint,,Quarterly Profits Formula,Ultimate Spread Strategy,Next Level Futures,Volume Breakout System,True Low Formula,TG's $100K Day Setup,Phoenix Finder Turbo,,The Obnoxious Profit Strategy,Simpler Calendars,New Multi 10X on Steroids,John Carter's Squeeze Pro System,Ready.Aim.Fire!® (RAF) Pro Indicator,John Carter's Squeeze Pro Indicator,Raghee Horner’s DPMR Indicator,Tr3ndy Script Bundle,Raghee Horner’s HPMR Indicator,TG's Moxie Indicator + Scans,Quant Pivots,Darvas Box 3.0,True Low Indicator,Trend Spark Indicator,Volume Max Tool Kit (formerly VWAP),Phoenix Finder,Turbo VZO,Divergent Bar,Compound Breakout Tool,Voodoo Lines®,Multi Squeeze Pro ,Volume Max Tool Package ,Earnings Hot Zone ,10x Bars Indicator ,Drama Free Day Trades,DynaRange Indicator ,Simpler Options 101,John Carter’s Trend Rotation Tool,Early In N Out Pro,Multi 10x Indicator,Micro Voodoo Lines Indicator ,,Squeeze Rotation Tool ,Squeeze Pro Stats Tool ,Chart Patterns Mastery Trial ,Compound Growth Mastery Trial ,The Overnight Earnings Method,MEM Edge Report 
"Who is the trader/traders
if there is more than one, put a | between the two names",,,,John Carter,Raghee Horner,Tr3ndy Jon,Taylor Horton ,Tr3ndy Jon,John Carter | Henry Gambell | David Starr,Raghee Horner,Chris Brecher,Danielle Shay,John Carter,Raghee Horner/Lorna St George,Tr3ndy Jon,John Carter,Sam Shames,Bruce Marshall,Raghee Horner,Danielle Shay,Allison Ostrander,Henry Gambell,TG Watkins ,Joe Rokop,Danielle Shay,Joe Rokop,John Carter | Allison Ostrander | Kody Ashmore,Henry Gambell,Danielle Shay ,Henry Gambell,Joe Rokop,Joe Rokop,Allison Ostrander,TG Watkins,Danielle Shay,,Raghee Horner,Bruce Marshall,John Carter,John Carter,David Starr,John Carter,Raghee Horner,Jon Mckeever,Raghee Horner,TG,John Carter,Raghee Horner,Allison Ostrander,"David Starr, Neil Yeager",Raghee Horner ,Danielle Shay,Danielle Shay,Allison Ostrander,Allison Ostrander ,David Star l Henry Gambell ,John Carter ,Raghee Horner ,Danielle Shay ,John Carter ,Kody Ashmore,David Star,John Carter & Henry Gambell,John Carter,John Carter,John Carter ,David Star,,John Carter ,John Carter ,Chris Brecher ,Taylor Horton ,Danielle Shay ,Mary Ellen McGonagle 
"What platforms can the indicator be used on (where applicable)
if there is more than one, put a | between them",,What platforms can the Sandbox be used on?,John Carter's Sandbox Strategy can be used on ThinkorSwim|TradingView,ThinkorSwim|TradingView,ToS/Tradingview,ThinkorSwim and TradingView,ThinkorSwim and TradingView.,ThinkorSwim and TradingView,ThinkorSwim | TradingView | MotiveWave | TradeStation,ThinkorSwim|TradingView,Indicators not included in this course/bundle,Indicators not included in this course/bundle,ThinkorSwim | Limited version available in TradingView,ToS|Tradingview,ThinkorSwim and TradingView,ThinkorSwim|TradeStation|TradingView|Tastyworks|MotiveWave,ThinkorSwim|TradingView,Indicators not included in this course/bundle,ThinkorSwim|TradingView,ThinkorSwim | Tradestation | tastytrade | MotiveWave | TradingView (does not include buy/sell arrows),,,"Tradingview, TOS",Indicators not included in this course/bundle,ThinkorSwim | Trading View,Indicators not included in this course/bundle,Indicators not included in this course/bundle,Indicators not included in this course/bundle,ThinkorSwim ,Thinkorswim,Indicators not included in this course/bundle,Indicators not included in this course/bundle,Thinkorswim | TradingView | TradeStation,Thinkorswim | TradingView,thinkorswim | TradingView,,ToS/Tradestation/Tradingview,Indicators not included in this course/bundle,ThinkorSwim,"ThinkorSwim, Tastytrade, TradingView, MotiveWave, and TradeStation",ThinkorSwim|TradeStation|TradingView|tastytrade|MotiveWave,ThinkorSwim | TastyTrade | TradingView | MotiveWave | TradeStation,"ThinkorSwim, TradingView",ThinkorSwim | TradingView,"ThinkorSwim, TradingView",ThinkorSwim | TradingView,ThinkorSwim | Trading View,thinkorswim | TradingView,"ThinkorSwim, TradeStation, and TradingView",TradeStation | thinkorswim | TradingView | motivewave, ThinkorSwim | TradingView,thinkorswim | TradeStation | TradingView,thinkorswim | TradeStation,thinkorswim | tastytrade | TradingView | TradeStation,ThinkorSwim | TradingView | TastyTrade | TradeStation,ThinkorSwim l Tradestation l TradingView l MotiveWave l eSignal l NinjaTrader7,ThinkorSwim,ThinkorSwim l Tradingview ,ThinkorSwim ,ThinkorSwim l Tradestation l Tastytrade l TradingView,thinkorswim | tastytrade | TradingView | motivewave | Tradier | TradeStation,ThinkorSwim l Tradestation l TradingView l MotiveWave,Indicators not included in this course/bundle,"ThinkorSwim, TradingView",thinkorswim | TradeStation,ThinkorSwim,MotiveWave l ThinkorSwim l TradingView l Tradestation,,ThinkorSwim l TradingView,ThinkorSwim l Tradestation,ThinkorSwim l TradingView,ThinkorSwim l TradingView,ThinkorSwim l TradingView,N/A
"What asset classes is this strategy traded in (Options, Futures, etc)",,,,Options,All asset classes but most trading done in Options,"Options, Futures, Stocks, 0DTE","Options, Stocks, Futures","0DTE, Options, Futures, Stocks","Options, Futures","Options, Futures, Stocks, ETFs","Stocks, Options, Futures",Options,Options,Options,"Options, Futures, Stocks, 0DTE","Options, Futures, Stocks","Options, Stocks, Futures, ETFs","Options, Stocks","Options, Futures, Stocks",Options,Options,Options,"Stock, Options, Futures, 0DTE",Futures,Options,Futures,Options,Options,Stocks ,"Options, Stocks, Indexes, ETFs, and Futures",Futures,Futures,Options,Stocks,"Futures, Options, Stocks",,Futures/Options/ETFs,Options,Options,"Options, Futures, Stocks",Options,"Options, Futures,  Stocks","Options, Futures, Stocks, ETFs","Options, Futures, Stocks, ETFs","Options, Futures, Stocks, ETFs","Options, Futures, Stocks","Options, Futures, Stocks","Futures, Options, Stocks","Stocks, Options, Futures, ETFs",Futures," Futures, ETF's, Stocks, Options","Stocks, Options, ETFs","Futures, Options, Stocks","Options, Futures, Stocks","Options, Futures, Stocks, ETFs",Futures and Select Equities ,"Options, Futures, Stocks, Crypto","Futures, ETF's, Stocks, Options",Equities ,Futures and Equities ,Options,Futures and Equities ,Options,Options,"Options, Futures, Stocks & Crypto",Futures and Equities ,Futures and select Equities ,,"Options, Futures, Equities ",Equities and Futures ,"Options, Futures, Equities ","Options, Futures, Equities ",Options ,Equity 
"Give a high level description of the product. 
Will be shown on the main courses/indicator sales page under the name of the product. Should be a short  catchy one liner about the product like 'Discover why John Carter's precise day trading levels hold up to 95% of the time' See https://my.simplertrading.com/product/product-category/indicators for examples",,,,Discover why John Carter's precise day trading levels hold up to 95% of the time,This system is the new evolution of tools that every trader should start with to analyze any symbol in any time frame in any market condition.,The PMZ is designed to help you identify precise entries and exits so you know your potential risk and returns in advance. The PMZ system can be traded “stand alone” or as a complement to your other strategies.,product not in store ,"Tr3ndy Jon's Day Trading system provides clear, actionable trading setups based on supply and demand dynamics, helping to remove the guesswork from trading decisions. For timing 0DTE, options, futures and stock trades (with zero guesswork).

",How to Automatically Predict Tradeable Levels in a Violently Choppy Market,Discover Raghee’s new automated swing trading system! This course is designed to target short-term swing trades in fast-changing markets.,How Chris Finds Precise Trades with 3 Simple Chart Patterns,How Danielle Shay targets 50% to 1200%+ returns within days using her “hybrid” stacked Butterfly strategy,Find out how this system can reveal profits hidden from most traders,"Discover Raghee’s super simple day trading options strategy. It’s designed for consistency, and you don’t need to know “the Greeks” or any complicated options setups. The goal is to start with $5k (or more) and scale consistently with steady growth. Raghee’s strategy is not subject to the $25k Pattern Day Trading Rule. This time-tested strategy is backed by 35 years of consistent profitability. If you want to know exactly when (and where) to buy, sell, or stay out with zero guesswork, Raghee’s Day Trading Options Strategy Class is for you!",The key to Tr3ndy Jon’s consistent 70%+ win rate is that he essentially “hijacks” the institutional supply and demand zones that drive the market’s biggest moves. His system is as simple as it is powerful. And you don’t have to be glued to your monitor to do it. Tr3ndy will show you how you can have a life and still beat the institutions at their own game.,"Trading reversals with mathematical precision with John Carter, Founder of Simpler Trading®",How Sam’s System Finds “No Brainer” Trades in Any Market,"Reliable Weekly Options Income in ""All-Weather"" Conditions","How to use volume correctly while avoiding market ‘fake-outs’

",A Simple Strategy for Consistent Weekly Income,The ideal course for risk-averse traders who also seek high returns.,How to Exploit Options Expiration for Maximum Income,"How TG Watkins times market 
turns with accuracy.",Strike objective entries with a formula designed to target overnight gains and 3X returns,"Make consistent, profitable picks in less time","Discover how it’s possible to grow a small account with futures trading, even in a volatile market",,Tilt Odds In Your Favor With A Little-Known System Which Offers Almost an Unfair Trading Advantage,Discover stocks in the “Hot Zone” each quarter for 'rinse and repeat' gains each earnings season ,The Ultimate Spread Strategy exploits predictable volatility during key market conditions,Get Joe’s Cutting Edge Strategy That Targets Long Term Moves for Greater Gains,The Floor Trader’s Secret for Catching the Biggest Intraday Trends,Discover How Allison Buys Her Favorite Stocks at Bargain Prices,This simple trading strategy is aimed at finding explosive stock moves,Reveal the strongest stocks in a sector so that you’re always trading the best horse in the race,,Raghee’s The Obnoxious Profit Strategy (T.O.P.S.) is designed to help you combine technical analysis and “big picture” market psychology to find strong setups.,Turning Time and Volatility into Consistent Income,"Catch Fast Moves:
'10x' Your Trading
Pinpoint Steep Breakouts and Reversals by Trading the Flow With John Carter","The Squeeze Pro System is a trend-setting revelation to identify predictable market profit points. The Squeeze Pro multi-layer charting indicator and trading system offers exclusive opportunities for traders, part-time or full-time. It can be used across all trading timeframes and securities - stocks, futures, options. ",R.A.F!® Pro is a price oscillator that dynamically shows if a stock is overbought or oversold on all timeframes,Catch Bigger and Faster Moves More Often (and Get in Earlier)!,"The DPMR Indicator uses 6-months of historical price data to define entries, targets, and exits.",Get the Edge Trading with Supply and Demand,"Automatically Decode Volatility with Hourly Price Movement
","Catch Grand Slams, Pops & Drops ","Automatically identify these critical price levels on almost any chart or timeframe. Whether you intraday or swing trade or follow stocks, futures, Forex, ETFs, or even crypto, these levels are essential.",Take automated price action to the next level with the updated Darvas 3.0 indicator,The True Low Indicator is designed to identify the “best” price to buy a stock and buy as close to “True Low” prices as possible.,"We like the Trend Spark to enter short-term intraday trades, especially in futures.","The Volume Max indicator analyzes price and volume to help traders clarify market sentiment. This custom version compares short term and long term VWAP as well as an ‘anchored’ VWAP, moving VWAP, and intraday VWAP, and combines price, time, and volume.","Reveal out performance in any ticker by using a formula that compares key stocks, industries, and ETFs.",The TurboVZO is a combination of two indicators and is Danielle's favorite momentum indicator.,Designed to spot reversals with the potential for high reward for limited risk,Reveal the Strength of a Setup Before Placing a Trade,Voodoo Lines® automatically predict future support and resistance levels.,The Multi Squeeze Pro Identifies Moves with Explosive Profit Potential,"Use the Volume Max Indicator (formerly VWAP Max) to automate overbought and oversold readings and identify up, down, and choppy market conditions with astonishing clarity.",The Earnings Hot Zone Indicator is Danielle Shay’s ‘Run into Earnings’ secret weapon.,"Know when to hold on for an outside move, and when to GTFO (Get The Funds Out)",Learn Kody’s 1% Per Day Strategy and how he grew his account by over 60% in 3 months,DynaRange shows projected swing targets based on price momentum before it becomes obvious to the market.,Learn to master the foundations of successful options trading,This tool reveals when Quick Hits signals are lined up in multiple timeframes. The bar colors change to bright green or red when all six-time frames are aligned. This gives the trader a quick visual confirmation without having to look at multiple charts.,Designed to give you an early “heads up” - that market-defying extra edge.,Reveals trend direction and strength in 18 different timeframes to assist in pinpointing the most optimal entries.,David Starr’s intraday Micro Voodoo Lines® are designed to expose dynamic support and resistance levels in the most actively traded stock indexes (and select stock symbols).,,Targeting the Near Daily “Snap Backs to The Mean”,Enable yourself to plan out trades using historical Squeeze Pro Stats at the top of your charts.,"How is Chris Brecher's ""3 Reasons"" Strategy So Consistently Profitable?",Take the 25 Trade Challenge With Taylor as He Focuses Only On A+ Setups ,Discover Danielle’s repeatable system for catching overnight earnings moves with simple options setups,Discover the exclusive stock market action report from the “advisor to the advisors”
"Pre-Headline
Will be shown on the main courses/indicator sales page above the name of the product. This will be a short teaser like 'Tired of being faked out?' If not sure, leave this blank.",,,,Tired of getting faked out?,Discover Raghee's New Calibrated Swing Trading System,"Discover how Tr3ndy Jon catches explosive day trades with His “Magic” Premarket Zone trading strategy—for options, futures and stocks.",product not in store ,"Want to calmly execute precise trades in almost any market? Discover how Jon and Melissa reliably day trade the Big Player’s buy and sell zones, aka “Tr3ndy Zones”. ",,"Discover How to Take the Guesswork Out of Trading…

",,,,Raghee’s New Day Trading Options Strategy Class,Learn how Tr3ndy Jon uses the supply and demand levels of big institutional investors to target his entries and exits. ,"Trading reversals with mathematical precision with John Carter, Founder of Simpler Trading®",How Sam’s System Finds “No Brainer” Trades in Any Market,,"How to use volume correctly while avoiding market ‘fake-outs’

",,Allison’s ‘Forgiving’ Formula for Steady Gains in Uncertain Conditions,Like the sound of an 18-win streak?,,,,,,,Exploit earnings season with this reliable formula,Generate consistent income without being ‘right’…,,,Buying the ‘Sweet Spot’ with…,Discover TG’s precise setup for wild market conditions…,,,Reveal How Raghee Can Read Any Chart Like a Book,,10x' Your Trading,The proven trading system John Carter uses to reliably spots home run trades.,Tired of getting whipsawed?,A game-changing tool from John Carter to help you catch bigger and faster moves more often. ,"After 10+ months of extensive beta testing in live market conditions, Raghee released the Daily Price Movement Range (DPMR) Indicator—to know exactly when to buy, sell, or stay out of any swing trade.",Tr3ndy Jon's Supply annd Demand System,Take Advantage of Volatility,Using This Indicator Helped TG Generate $1.833+ Million in 2021 so far...,Predict the next TWO week’s high and low range,,"Identify the ""best"" price to buy a stock",,This tool analyzes price and volume to help traders determine market sentiment with clarity.,,,,,NEW: Limited Time Offer,,Trusted & Timeless Indicators,See the Power of this 3-in-1 tool!,,,NEW: Limited Time Offer,,"Target Daily Options Income from Intraday Trend Rotation
",Increase Profits and Reduce Risk with:,Our MAJOR Upgrade to The 10x Bar,,,,Strengthen MAJOR Squeeze Pro Trades,STRUGGLING IN THIS VOLATILE MARKET?,,,
"Benefit Driven Headline
This shows up right below the product name in the banner. SOmething like: 'Discover Why John Carter's precise day trading levels hold up to 95% of the time) ",,,,/h2 Discover why John Carter's precise day trading levels hold up to 95% of the time,The Top Tier Pro Trading System,Discover How Tr3ndy Jon Targets Daily 100% Gains With The “Magic” Premarket Zone,Discover How Taylor Targets “A+ Squeezes” (with Zero Guesswork),"Learn how Jon and Melissa use supply and demand zones to target entries and exits (with zero guesswork). For 0DTE, options, futures and stocks.",Discover the New Roadmap for Active Day Traders...,Discover Raghee’s new automated swing trading system! This course is designed to target short-term swing trades in fast-changing markets.,Discover How Chris Turned $200 into $25k,Discover How Danielle Shay targets 50% to 1200%+ returns within days,Discover How John Spots the Best Trades On One Chart,"The Simple Strategy for Consistently Day Trading Options


","Learn how Tr3ndy Jon achieves a +70% win rate, using the supply and demand levels of big institutional investors.","Trading reversals with mathematical precision with John Carter, Founder of Simpler Trading®","NEW: SAM SHAMES’ TRUE MOMENTUM SYSTEM

",Discover Bruce's “Secret Sauce” for turning wild market swings into steady income,"How to use volume correctly while avoiding market ‘fake-outs’

",Discover How Danielle Holds an Edge (Even in Uncertain Markets),Allison’s ‘Forgiving’ Formula for Steady Gains in Uncertain Conditions,Discover Henry’s 86%+ Accurate Income Formula,"How TG Watkins catches 90% 
of the trend",Discover How Joe Grew His Account 1400% in 8 Months...,Discover Danielle's ‘Secret’ to 500% Gains …,The Amazing Growth Formula Behind Joe Rokop’s 30X Gains,,Henry designed his ‘Lotto Ticket’ strategy to boost profit potential far beyond a traditional Butterfly,Exploit earnings season with this reliable formula for 'rinse and repeat' quarterly gains,Learn To Get Paid Weekly Using Zero-Stress Options Income,Get Joe’s Cutting Edge Strategy That Targets Long Term Moves for Greater Gains,Exploit Wall Street computer algorithms for higher gains,Discover Stock Entries at Bargain Prices,How TG knows when to precisely enter and exit setups,The tool that helps Danielle expose strengths and weaknesses of market-moving stocks,,Discover how Raghee adapted a tool that is six decades old to find entries and exits. She won’t trade without this!,Learn Bruce Marshall’s ‘Set And Forget’ Simpler Calendars Strategy,"Catch Fast Moves:
'10x' Your Trading
Pinpoint Steep Breakouts and Reversals by Trading the Flow With John Carter","The Squeeze Pro System changed John Carter’s life and made him an 8-figure trader. For Options, Futures and Stocks.",Discover Precise Trade Timing with David Starr's R.A.F!® Pro®!,Catch Bigger and Faster Moves More Often (and Get in Earlier)!,"Eliminate Guesswork with Historical Daily Price Data
",Witness the power of all the Tr3ndy Indicators working in harmony,"Automatically Decode Volatility with Hourly Price Movement
",The Moxie Indicator was created specifically to read a stock's profit potential,"How to spot ""the Easy Money"" in Malicious Markets",,Know exactly when to buy hot stocks at bargain prices,How David and Neil automatically identify trends and reversals on any chart,Designed to show at a glance the average price level of participants involved in the market selling,Instantly Identify the Strongest and Weakest Stocks in Any Sector,,How to predict potential higher highs or lower lows,Reveal the Strength of a Setup Before Placing a Trade,,"Get the Proven System John Carter Used to Catch a Record Breaking $611,395 AMZN Trade",,It’s a simple and intuitive indicator and Statistics tool… PLUS an ‘Implied Volatility Gauge.’,,Kody’s 1% Per Day Strategy,Using this Indicator made more than $199k in less than 24 hours on John Carter's first trades when released,Learn to master the foundations of successful options trading,"How John Carter Targets Daily Income from Intraday Trend Rotation
",Increase your profit potential and also reduce risk with faster entry and exit timing,Use the UPGRADED tool behind John Carter's famous $5 Million GOOGL Trade.,Automatically Predict Dynamic Day Trading Levels,,,,Watch this quick video to see why Chris’s strategy has worked for 42+ years…,Follow Taylor’s A+ Trades for 30 Days for Just $7,How to Target Profits Before Breakfast on Autopilot without Timing Trades or Watching the Market,Tap into Mary Ellen’s 20-Year track record of providing winning stock selections to institutional portfolio managers
"What image do you want to feature on the sidebar 
IF there is a webinar/video associated with this page, add the  URL of where the current video is held. 
If there is not a webinar (or it's too old), add the name of the image of the product. 
if there isn't an image for the product, leave this blank",,,,img-500x281-sandboxstrategy.jpg,,Video to come,,This video,This Video,,This Video,This Video,This Video,,This pre-class webinar,https://cloud-streaming.s3.amazonaws.com/upcoming/RAFPro2021_A2.mp4,"https://youtu.be/UD-RCGgwPto

https://cdn.simplertrading.com/2024/01/17104904/img-TraderHighlight_SamShames.jpg",This Video,https://youtu.be/GcYLnFg4v9I,This Video,https://cdn.simplertrading.com/2022/12/07135359/allison-hero.png,https://cloud-streaming.s3.amazonaws.com/upcoming/PocketPrem_A1.mp4,https://www.youtube.com/watch?v=WZrGgcwfugg,This Video,This Video,https://cloud-streaming.s3.amazonaws.com/upcoming/JR22BG_SimplerFutures-StrikeZoneMastery_A1.mp4,,https://cloud-streaming.s3.amazonaws.com/upcoming/UnbalancedButterfly_EvergreenTrailerA2.mp4,"Video is on page, but it's embedded. Need to find on the s3 drive ",https://cloud-streaming.s3.amazonaws.com/upcoming/UltimateSpreads_evergreen_3A.mp4,https://youtu.be/s_DMHYidxz0,https://cloud-streaming.s3.amazonaws.com/upcoming/VolumeBreakout_evergreen_A2.mp4,https://cdn.simplertrading.com/2022/08/10153238/AO22BG_TrueLow_CLASS_YT.mp4,https://cloud-streaming.s3.amazonaws.com/upcoming/TG-100K-evergreen_A2.mp4,https://cloud-streaming.s3.amazonaws.com/upcoming/DS22JD_PhoenixFinderTurbo_A1_YT.mp4,,,https://cloud-streaming.s3.amazonaws.com/upcoming/Calendars-EvergreenTrailerA4.mp4,"Image: https://s3.amazonaws.com/simpler-cdn/dev/wp-content/uploads/2020/04/15172756/multi-10x-video.jpg
Video: https://cloud-streaming.s3.amazonaws.com/upcoming/10X-EvergreenTrailerA3.mp4",Preview video from this page,img-500x281-rafpro.jpg,https://cdn.simplertrading.com/2023/02/17140940/squeeze-pro-computer-1024x516.png,,,The video from the sales page (see Watch Now) https://my.simplertrading.com/hpmr,,,,,https://simplerfutures.s3.amazonaws.com/tutorials/TrendSpark_Overview_DS_10252021.mp4?_=1,https://cdn.simplertrading.com/dev/wp-content/uploads/2019/12/05155916/VWAP.jpg,,,https://simpler-options.s3.amazonaws.com/tutorials/allison/DivergentBar-Indicator-AO.mp4,,,,,,,https://youtu.be/ipZO7KyQY8Q,,,https://www.youtube.com/watch?v=IkQBWCjhY4I,,,,,,,https://www.youtube.com/watch?v=NXFyY8DQRn4&t=79s,,,
"What message do you want to feature on the sidebar
Stays with you throughout, value messaging to show why to buy. One short sentence. Something like 'Discover how John Targets day trading levels with up to 95% accuracy inside the Sandbox",,,,"Discover how John targets day trading levels with up to 95% accuracy inside the ""Sandbox""",,Get Tr3ndy Jon's Premarket Zone Strategy and trading system for catching explosive day trades.,,"Learn how Jon and Melissa use supply and demand zones to target entries and exits (with zero guesswork). For 0DTE, options, futures and stocks.",Discover the New Roadmap for Active Day Traders...,"Discover How to Take the Guesswork Out of Trading…

",Discover How Chris Turned $200 into $25k,Discover How Danielle Shay targets 50% to 1200%+ returns within days,Discover How John Spots the Best Trades On One Chart,"Target Steady Growth
","Learn how Tr3ndy Jon achieves a +70% win rate, using the supply and demand levels of big institutional investors.",,How Sam’s System Finds “No Brainer” Trades in Any Market,Discover Bruce's “Secret Sauce” for turning wild market swings into steady income,"How to use volume correctly while avoiding market ‘fake-outs’

",Discover How Danielle Holds an Edge (Even in Uncertain Markets),Discover how Allison generated consistent profits with an 89% win rate while raising two toddlers.,Discover Henry’s 86%+ Accurate Income Formula,"Discover TG Watkin's million dollar
chart set-up and process",Discover How Joe Grew His Account 1400% in 8 Months...,Discover Danielle's ‘secret’ to 500% gains …,The Amazing Growth Formula Behind Joe Rokop’s 30X Gains,,Tilt Odds In Your Favor With A Little-Known System Which Offers Almost an Unfair Trading Advantage,Exploit earnings season with this reliable formula for 'rinse and repeat' quarterly gains,Ultimate Spread Strategy exploits predictable volatility during key market conditions,,Learn to Day Trade High-Volume Breakouts in Futures,Discover Stock Entries at Bargain Prices,How TG knows when to precisely enter and exit setups,Reveal the strongest stocks in a sector so that you’re always trading the best horse in the race,,Raghee’s The Obnoxious Profit Strategy (T.O.P.S.) is designed to help you combine technical analysis and “big picture” market psychology to find strong setups. ,Learn Bruce Marshall’s ‘Set And Forget’ Simpler Calendars Strategy,10x' Your Trading,Add Squeeze Pro to your charts. Get the same trading system that John Carter uses to reliably spot home run trades.,"The system that identifies turning points and reversals, helping John Carter generate 7-figure trades.",Discover how John Carter is able to catch bigger and faster moves with the Squeeze Pro,Eliminate Guesswork with Historical Daily Price Data,Get the Edge With the Tr3ndy Script Bundle,Take advantage of volatility with Raghee's HPMR Indicator.,Find profit potential in intraday and swing setups,Discover the game-changer that makes precise timing possible,Take automated price action to the next level with the updated Darvas 3.0 indicator,Identify the “best” price to buy a stock ,How David and Neil automatically identify trends and reversals on any chart,"Use the Volume Max Indicator (formerly VWAP Max) to automate overbought and oversold readings and identify up, down, and choppy market conditions with astonishing clarity.",Instantly Identify the Strongest and Weakest Stocks in Any Sector,The TurboVZO is a combination of two indicators and is Danielle's favorite momentum indicator.,Designed to spot reversals with the potential for high reward for limited risk,Reveal strong setups before placing a trade,Using this Indicator helped make over $19.61 Million in 2020 for Simpler Traders,Stop Missing the Biggest Moves. Spot them Before they Explode!,"With the Volume Max Indicator Package, you have the ability to stay in trades while others exit early and leave profits on the table",,Understand the Trend Quality and Strength on Any Chart at a Glance!.,Kody’s 1% Per Day Strategy,,Learn to master the foundations of successful options trading,Target daily options income with John's Trend Rotation Tool. ,Designed to give you an early “heads up” - that market-defying extra edge.,,,,,,,,,
